Directory,Filename,Mapping,State,AnNo,Group,Unit,class,class_2
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,3,4,NS_TH,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,3,6,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,3,7,S_HD,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,6,4,NS_TH,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,6,5,NS_TH,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,6,6,NS_TH,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,6,7,S_BC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,8,1,S_HD,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,8,3,NS_FF,TH_RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,CL-SR_1-3.py,Control,1,8,10,NS_FF,RS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\31082017,31082017_CSubRet1_smallsq_d1_1.set,CL-SR_1-3.py,Control,1,3,6,S_HD,TH_FS
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\31082017,31082017_CSubRet1_smallsq_d1_1.set,CL-SR_1-3.py,Control,1,6,4,S_PC,B
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\31082017,31082017_CSubRet1_smallsq_d1_1.set,CL-SR_1-3.py,Control,1,6,5,S_PC,TH_FS
